sensor,model_node,rmse_C,mae_C,bias_model_minus_sensor_C,corr_no_lag,best_abs_corr,best_lag_min_model_shift,rmse_at_best_lag_C,sensor_amp_95_05_C,model_amp_95_05_C,amp_error_model_minus_sensor_C,n_overlap,fit_score,rank_for_sensor
T1Ka,T_in_used,0.008807547774252453,0.005844267021281714,0.0004951750910410017,0.9999746504727549,0.9999746504727549,0,0.008807547774252453,4.093790599999998,4.0921684636762805,-0.001622136323717882,3465,2.9968596759727815,1
T1Ka,T_s_in,0.9211608875080943,0.8234911382506661,0.3224154408310966,0.786009228835097,0.901393790336559,-85,0.8244370060450456,4.093790599999998,1.8681433817610795,-2.225647218238919,3465,2.284936059444713,2
T1Ka,T_g_mid,2.1550815036539097,1.7030744498184425,0.9900686840274048,-0.04000039848886153,-0.6030520634956544,-270,2.5769492335460207,4.093790599999998,5.715781167343614,1.621990567343616,3465,1.8279039862883506,3
T1Ka,T_g_bot,1.1964573811651447,1.047073455294222,0.49480200218103915,0.4874515438564083,-0.5434629878193131,360,1.656221402417562,4.093790599999998,1.4630397846906718,-2.6307508153093266,3465,1.8143961860124507,4
T1Ka,T_a,2.8569500297364905,2.6182782818181827,-1.1954490099567119,0.4409008863325639,0.832445936773055,190,2.15610238924926,4.093790599999998,8.800000000000011,4.706209400000013,3465,1.6218531935400156,5
T1Ka,T_g_top,3.9546384920769238,2.975219444457835,1.4555037264551982,-0.1461031062515995,-0.5536669079228372,-235,4.374377227182077,4.093790599999998,11.42643411700477,7.332643517004772,3465,1.0652767075999887,6
T1Ka,T_f,19.078847789456653,13.497511444543354,5.618057618146284,-0.06422984526849734,-0.23369708091446367,-240,19.62964897771197,4.093790599999998,62.584787580580056,58.49099698058006,3465,0.23607808618757453,7
T1Ke,T_a,2.6227252352516,2.1795431595959616,-1.9406870279942299,0.7922868885242077,0.9067590721174521,95,2.1553478333805156,7.2298686,8.800000000000011,1.5701314000000117,3465,2.06965560073537,1
T1Ke,T_in_used,1.6238487120987948,1.1327253957413463,-0.744742842946477,0.8474102058265146,0.9277564373353393,-75,1.4940448030021607,7.2298686,4.0921684636762805,-3.137700136323719,3465,2.0546976327737956,2
T1Ke,T_g_mid,2.3556654038630045,2.065395382042179,0.2448306659898866,0.2952781224863267,-0.69381049058514,-335,3.5291196338114776,7.2298686,5.715781167343614,-1.5140874326563853,3465,1.9034856139681082,3
T1Ke,T_s_in,2.14585184569585,1.7714148437781012,-0.4228225772064216,0.503350417516386,0.8569256395658735,-155,1.9300414285001266,7.2298686,1.8681433817610795,-5.36172521823892,3465,1.7006066852926578,4
T1Ke,T_g_bot,2.213864469324862,1.8958439889295207,-0.2504360158564789,0.3834813085074239,-0.624938478366694,360,2.6016949419538657,7.2298686,1.4630397846906718,-5.766828815309328,3465,1.4312329674172242,5
T1Ke,T_g_top,3.8074202446972087,2.9889683990686686,0.7102657084176802,0.14705220356658272,-0.6173555058080413,-295,5.185230042190881,7.2298686,11.42643411700477,4.196565517004771,3465,1.3435156287712973,6
T1Ke,T_f,18.761087413059055,13.063740411845147,4.872819600108765,0.06210365602774529,-0.24934424781377534,-290,19.93753562320349,7.2298686,62.584787580580056,55.35491898058005,3465,0.2519828686426809,7
T1Ta,T_a,3.4237360090434734,2.3253469089466092,-1.795256712121214,0.9473434060777274,0.9481303009296985,5,3.4103898381196367,16.576853000000003,8.800000000000011,-7.776852999999992,3465,1.4926030555358065,1
T1Ta,T_in_used,4.865728239533763,3.870590478011125,-0.5993125270734614,0.6248751174932174,0.8872174140744222,-145,4.513711714210534,16.576853000000003,4.0921684636762805,-12.484684536323723,3465,1.1807397116050664,2
T1Ta,T_g_top,5.405939370338977,4.487457497541029,0.855696024290696,0.3482014875997301,-0.546997702571818,-355,7.978854764626916,16.576853000000003,11.42643411700477,-5.150418882995233,3465,1.0791128432539845,3
T1Ta,T_s_in,5.421339261669312,4.478626757564662,-0.27739226133340567,0.20642076575408347,0.830233601389696,-220,5.10299934004128,16.576853000000003,1.8681433817610795,-14.708709618238924,3465,1.0603656377599575,4
T1Ta,T_g_mid,5.002654433635757,4.261558590716214,0.39026098186290253,0.4759171611031313,-0.5980016146327696,-360,6.572504545140096,16.576853000000003,5.715781167343614,-10.861071832656389,3465,0.9134174049537515,5
T1Ta,T_g_bot,5.433662226948385,4.540619247627244,-0.10500569998346332,0.19718271186926803,-0.5507486591277045,310,5.706743194261786,16.576853000000003,1.4630397846906718,-15.113813215309332,3465,0.7761911364116286,6
T1Ta,T_f,18.810521623688064,12.533446993187999,5.018249915981781,0.14885267202323127,-0.2165484146803246,-320,21.133029957102533,16.576853000000003,62.584787580580056,46.007934580580056,3465,0.21922124550368016,7
T1Tb,T_a,3.2403384186516844,2.492492309379511,-2.081530305050507,0.6902782092038474,0.8987911907319276,120,2.3651052188828174,10.078090799999995,8.800000000000011,-1.2780907999999833,3465,2.028660074090606,1
T1Tb,T_in_used,2.4210497477902564,1.8418870811546975,-0.885586120002754,0.918853310328733,0.9644358591953409,-60,2.353691182516219,10.078090799999995,4.0921684636762805,-5.985922336323714,3465,1.7257334208360169,2
T1Tb,T_g_top,4.668798577585996,3.793247584680894,0.569422431361403,0.020698376739522774,-0.5482096321658853,-270,5.923767526751218,10.078090799999995,11.42643411700477,1.348343317004776,3465,1.5367565493951036,3
T1Tb,T_s_in,3.09163980116351,2.5526754271992536,-0.5636658542626986,0.5806429578139845,0.8665932720544385,-145,2.9368912598903947,10.078090799999995,1.8681433817610795,-8.209947418238915,3465,1.4312040605751815,4
T1Tb,T_g_mid,3.433320638717288,2.924200300586148,0.10398738893360962,0.14212280300217087,-0.5974618159685834,-305,4.404552743345312,10.078090799999995,5.715781167343614,-4.36230963265638,3465,1.3471723898240489,5
T1Tb,T_g_bot,3.2225346703375606,2.702728289700211,-0.391279292912756,0.3649866967095457,-0.5706999948221085,360,3.557890148945997,10.078090799999995,1.4630397846906718,-8.615051015309323,3465,1.1051408755486167,6
T1Tb,T_f,18.992337486799,13.376541701702417,4.731976323052487,0.006977305048202114,-0.2243831025815306,-265,20.123899591456304,10.078090799999995,62.584787580580056,52.50669678058006,3465,0.22684665485913005,7
T2A,T_s_in,2.1574466064198923,2.1214475044674606,2.1214475044674606,0.7977478241370577,0.7986077094837578,-10,2.1578356530977207,2.2398145999999954,1.8681433817610795,-0.3716712182389159,3465,2.2308803106593036,1
T2A,T_in_used,1.9838875465681398,1.7995272387274044,1.7995272387274044,0.7802323340467561,0.8862684980206257,90,1.9639383359294549,2.2398145999999954,4.0921684636762805,1.852353863676285,3465,2.1064163165063503,2
T2A,T_g_bot,2.3613159014281275,2.2938340658174026,2.2938340658174026,0.5222407332605756,0.5222407332605756,0,2.3613159014281275,2.2398145999999954,1.4630397846906718,-0.7767748153093237,3465,1.849759576405647,3
T2A,T_a,3.028161790617449,2.4798726051948057,0.6035830536796517,-0.009099746529106487,-0.7516188082643993,-245,3.400298791942676,2.2398145999999954,8.800000000000011,6.560185400000016,3465,1.399013036040666,4
T2A,T_g_mid,3.254110790892483,2.7988365030641553,2.789100747663768,-0.21622876055726536,-0.48039688659268925,-190,3.2985489770168326,2.2398145999999954,5.715781167343614,3.475966567343619,3465,1.3311003168107298,5
T2A,T_g_top,4.800578013382708,3.7075193784386498,3.2545357900915617,-0.2895576243411192,-0.4449761118607789,-155,4.851952331748312,2.2398145999999954,11.42643411700477,9.186619517004775,3465,0.8186065332366016,6
T2A,T_f,19.66620411601004,13.900544447114443,7.417089681782647,-0.14076530284785221,-0.2006457539046962,-145,19.907038558497657,2.2398145999999954,62.584787580580056,60.34497298058006,3465,0.20262154563693976,7
T2A2,T_in_used,1.5476233016279723,1.369072586797277,0.9887667828832487,0.7374160561624826,0.877761687219266,-110,1.2515630445128898,5.355825600000003,4.0921684636762805,-1.2636571363237223,3465,2.2640883583016063,1
T2A2,T_g_mid,2.6284070136371773,2.0978357777751215,1.9783402918196127,0.42251949866944105,-0.7111661719568878,-360,3.4824680208252414,5.355825600000003,5.715781167343614,0.35995556734361145,3465,2.0756737756533217,2
T2A2,T_a,1.6005098354050526,1.397979729148629,-0.2071774021645041,0.8780725921948951,0.9350737885674221,65,1.404270349758071,5.355825600000003,8.800000000000011,3.4441744000000085,3465,2.034553487737876,3
T2A2,T_s_in,2.1026349027721993,1.8872144593077926,1.3106870486233044,0.3588929871182895,0.8043790704979372,-180,1.7958062493232818,5.355825600000003,1.8681433817610795,-3.4876822182389233,3465,1.8109210222831358,4
T2A2,T_g_bot,2.2334831801223527,1.9806513315207164,1.4830736099732469,0.3237583091830048,-0.6683687043629777,360,2.665847903065511,5.355825600000003,1.4630397846906718,-3.892785815309331,3465,1.6151663381760075,5
T2A2,T_g_top,4.110143087649833,3.1329282590799683,2.4437753342474062,0.25807363684407286,-0.6259874842905547,-330,5.193631784242979,5.355825600000003,11.42643411700477,6.070608517004768,3465,1.1897800690535383,6
T2A2,T_f,19.18427246218582,13.126746960346749,6.60632922593849,0.10583919327764349,-0.2483009929474064,-330,20.2536437634722,5.355825600000003,62.584787580580056,57.22896198058005,3465,0.25060607783023686,7
