name,n,mean_C,min_C,max_C,amplitude_C,peak_time,trough_time,source,variable
measured_T1Ta,3459,29.051283523850827,23.487547,44.486429,20.998882000000002,2026-04-01 13:51:00,2026-04-02 05:51:00,measured,T1Ta
measured_T1Ke,3459,29.202486087019373,26.114719,35.04812,8.933400999999996,2026-04-02 12:13:00,2026-04-02 06:19:00,measured,T1Ke
measured_T2A,3459,26.662990343451867,25.551737,28.127127,2.5753900000000023,2026-04-01 17:18:00,2026-04-02 08:44:00,measured,T2A
measured_T2A2,3459,27.469925814397225,24.908051,31.530398,6.622347000000001,2026-04-02 12:36:00,2026-04-02 21:37:00,measured,T2A2
measured_T1Tb,3459,29.34446057502168,25.14522,38.172465,13.027245000000004,2026-04-01 14:56:00,2026-04-02 06:17:00,measured,T1Tb
measured_T1Ka,3459,28.461199447528188,26.459432,31.306007,4.846575000000001,2026-04-01 15:14:00,2026-04-02 07:01:00,measured,T1Ka
model_T_f,3465,34.08020215479853,4.164834879107048,121.7200400057256,117.55520512661855,2026-04-02 10:16:00,2026-04-02 21:03:00,model,T_f
model_T_g_top,3465,29.917648263107434,23.391206665276627,47.65188221553598,24.26067555025935,2026-04-02 09:15:00,2026-04-02 19:13:00,model,T_g_top
model_T_g_mid,3465,29.452213220679642,26.171180420046426,33.90427627156703,7.733095851520602,2026-04-02 09:26:00,2026-04-02 19:13:00,model,T_g_mid
model_T_g_bot,3465,28.956946538833275,27.862653228114997,29.88399586015373,2.0213426320387313,2026-04-02 12:45:00,2026-04-02 21:19:00,model,T_g_bot
model_T_s_in,3465,28.784559977483333,27.51926025084208,29.92092483931725,2.401664588475171,2026-04-01 16:19:00,2026-03-31 11:58:00,model,T_s_in
model_T_in_used,3465,28.462639711743275,26.46299683879693,31.30475148394328,4.841754645146352,2026-04-01 15:11:00,2026-04-02 06:54:00,model,T_in_used
