reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min
T1Ta,T1Ke,3459,0.15120256316854574,2.984909584272911,3.5531320883716284,0.9000821378729252,20.998882000000002,8.933400999999996,-12.065481000000005,2026-04-01 13:51:00,2026-04-02 12:13:00,1342.0
T1Ta,T2A,3459,-2.3882931803989593,4.105735566059555,5.940470069153789,0.14839967485035427,20.998882000000002,2.5753900000000023,-18.423492,2026-04-01 13:51:00,2026-04-01 17:18:00,207.0
T1Ta,T2A2,3459,-1.581357709453599,2.846441810638913,4.217019555855299,0.9331936953358124,20.998882000000002,6.622347000000001,-14.376535,2026-04-01 13:51:00,2026-04-02 12:36:00,1365.0
T1Ta,T1Tb,3459,0.2931770511708585,2.8163256154958085,3.2802708699378047,0.8365014713825142,20.998882000000002,13.027245000000004,-7.971636999999998,2026-04-01 13:51:00,2026-04-01 14:56:00,65.0
T1Ta,T1Ka,3459,-0.5900840763226366,3.862092666666667,4.857240832324824,0.6262257747457648,20.998882000000002,4.846575000000001,-16.152307,2026-04-01 13:51:00,2026-04-01 15:14:00,83.0
T1Ke,T1Ta,3459,-0.15120256316854574,2.984909584272911,3.5531320883716284,0.9000821378729252,8.933400999999996,20.998882000000002,12.065481000000005,2026-04-02 12:13:00,2026-04-01 13:51:00,-1342.0
T1Ke,T2A,3459,-2.5394957435675054,2.5394957435675054,3.3071934599372343,0.44882919639457347,8.933400999999996,2.5753900000000023,-6.358010999999994,2026-04-02 12:13:00,2026-04-01 17:18:00,-1135.0
T1Ke,T2A2,3459,-1.732560272622145,1.732560272622145,1.8886520047715492,0.970806823500911,8.933400999999996,6.622347000000001,-2.311053999999995,2026-04-02 12:13:00,2026-04-02 12:36:00,23.0
T1Ke,T1Tb,3459,0.14197448800231277,0.9848559184735474,1.3021727005236088,0.9572124486847162,8.933400999999996,13.027245000000004,4.093844000000008,2026-04-02 12:13:00,2026-04-01 14:56:00,-1277.0
T1Ke,T1Ka,3459,-0.7412866394911825,1.127302885805146,1.6169533561067824,0.8487636651933094,8.933400999999996,4.846575000000001,-4.086825999999995,2026-04-02 12:13:00,2026-04-01 15:14:00,-1259.0
T2A,T1Ta,3459,2.3882931803989593,4.105735566059555,5.940470069153789,0.14839967485035427,2.5753900000000023,20.998882000000002,18.423492,2026-04-01 17:18:00,2026-04-01 13:51:00,-207.0
T2A,T1Ke,3459,2.5394957435675054,2.5394957435675054,3.3071934599372343,0.44882919639457347,2.5753900000000023,8.933400999999996,6.358010999999994,2026-04-01 17:18:00,2026-04-02 12:13:00,1135.0
T2A,T2A2,3459,0.8069354709453601,1.3592977802833188,1.8472989339950634,0.3269645736772823,2.5753900000000023,6.622347000000001,4.046956999999999,2026-04-01 17:18:00,2026-04-02 12:36:00,1158.0
T2A,T1Tb,3459,2.6814702315698176,2.930534189939289,4.039747221422764,0.5583779365795446,2.5753900000000023,13.027245000000004,10.451855000000002,2026-04-01 17:18:00,2026-04-01 14:56:00,-142.0
T2A,T1Ka,3459,1.7982091040763224,1.7982091040763224,1.9832460165705343,0.7791508419377302,2.5753900000000023,4.846575000000001,2.271184999999999,2026-04-01 17:18:00,2026-04-01 15:14:00,-124.0
T2A2,T1Ta,3459,1.581357709453599,2.846441810638913,4.217019555855299,0.9331936953358123,6.622347000000001,20.998882000000002,14.376535,2026-04-02 12:36:00,2026-04-01 13:51:00,-1365.0
T2A2,T1Ke,3459,1.732560272622145,1.732560272622145,1.8886520047715492,0.9708068235009109,6.622347000000001,8.933400999999996,2.311053999999995,2026-04-02 12:36:00,2026-04-02 12:13:00,-23.0
T2A2,T2A,3459,-0.8069354709453601,1.3592977802833188,1.8472989339950634,0.3269645736772824,6.622347000000001,2.5753900000000023,-4.046956999999999,2026-04-02 12:36:00,2026-04-01 17:18:00,-1158.0
T2A2,T1Tb,3459,1.8745347606244578,1.9053231179531656,2.6789714988464732,0.8995918704044974,6.622347000000001,13.027245000000004,6.404898000000003,2026-04-02 12:36:00,2026-04-01 14:56:00,-1300.0
T2A2,T1Ka,3459,0.9912736331309628,1.3672525634576467,1.5455013215416826,0.7387511736703236,6.622347000000001,4.846575000000001,-1.775772,2026-04-02 12:36:00,2026-04-01 15:14:00,-1282.0
T1Tb,T1Ta,3459,-0.2931770511708585,2.8163256154958085,3.2802708699378047,0.8365014713825141,13.027245000000004,20.998882000000002,7.971636999999998,2026-04-01 14:56:00,2026-04-01 13:51:00,-65.0
T1Tb,T1Ke,3459,-0.14197448800231277,0.9848559184735474,1.3021727005236088,0.9572124486847162,13.027245000000004,8.933400999999996,-4.093844000000008,2026-04-01 14:56:00,2026-04-02 12:13:00,1277.0
T1Tb,T2A,3459,-2.6814702315698176,2.930534189939289,4.039747221422764,0.5583779365795447,13.027245000000004,2.5753900000000023,-10.451855000000002,2026-04-01 14:56:00,2026-04-01 17:18:00,142.0
T1Tb,T2A2,3459,-1.8745347606244578,1.9053231179531656,2.6789714988464732,0.8995918704044973,13.027245000000004,6.622347000000001,-6.404898000000003,2026-04-01 14:56:00,2026-04-02 12:36:00,1300.0
T1Tb,T1Ka,3459,-0.8832611274934952,1.8383343139635735,2.418414258680424,0.9195119356624346,13.027245000000004,4.846575000000001,-8.180670000000003,2026-04-01 14:56:00,2026-04-01 15:14:00,18.0
T1Ka,T1Ta,3459,0.5900840763226366,3.862092666666667,4.857240832324824,0.6262257747457647,4.846575000000001,20.998882000000002,16.152307,2026-04-01 15:14:00,2026-04-01 13:51:00,-83.0
T1Ka,T1Ke,3459,0.7412866394911825,1.127302885805146,1.6169533561067824,0.8487636651933093,4.846575000000001,8.933400999999996,4.086825999999995,2026-04-01 15:14:00,2026-04-02 12:13:00,1259.0
T1Ka,T2A,3459,-1.7982091040763224,1.7982091040763224,1.9832460165705343,0.7791508419377302,4.846575000000001,2.5753900000000023,-2.271184999999999,2026-04-01 15:14:00,2026-04-01 17:18:00,124.0
T1Ka,T2A2,3459,-0.9912736331309628,1.3672525634576467,1.5455013215416826,0.7387511736703236,4.846575000000001,6.622347000000001,1.775772,2026-04-01 15:14:00,2026-04-02 12:36:00,1282.0
T1Ka,T1Tb,3459,0.8832611274934952,1.8383343139635735,2.418414258680424,0.9195119356624347,4.846575000000001,13.027245000000004,8.180670000000003,2026-04-01 15:14:00,2026-04-01 14:56:00,-18.0
