sensor_a,sensor_b,corr,rmse_C,amp_a_C,amp_b_C,amp_ratio_b_over_a
T1Ka,T1Ke,0.8486128079180645,1.621832634576318,4.093790599999998,7.2298686,1.7660572575451228
T1Ka,T1Ta,0.626750978974019,4.863060021878311,4.093790599999998,16.576853000000003,4.049267444211731
T1Ka,T1Tb,0.9196161953189104,2.4197513154311854,4.093790599999998,10.078090799999995,2.4617992918348093
T1Ka,T2A,0.779251076031552,1.9839210628109827,4.093790599999998,2.2398145999999954,0.5471248578273633
T1Ka,T2A2,0.7388796051485766,1.5452401634275135,4.093790599999998,5.355825600000003,1.3082803013910884
T1Ke,T1Ta,0.900466415028546,3.554176153633672,7.2298686,16.576853000000003,2.2928290840583196
T1Ke,T1Tb,0.956991998485687,1.301447970238689,7.2298686,10.078090799999995,1.3939521390471736
T1Ke,T2A,0.4490707066606832,3.3128978998336813,7.2298686,2.2398145999999954,0.3098001808774222
T1Ke,T2A2,0.9709201275674308,1.8895293154282748,7.2298686,5.355825600000003,0.7407915546348938
T1Ta,T1Tb,0.8367298133566848,3.2827292681150406,16.576853000000003,10.078090799999995,0.6079616438656958
T1Ta,T2A,0.14937651570356597,5.949107064077415,16.576853000000003,2.2398145999999954,0.13511699717672557
T1Ta,T2A2,0.9333726247840524,4.2214523491299305,16.576853000000003,5.355825600000003,0.3230906131579982
T1Tb,T2A,0.5587410439637399,4.042313820344864,10.078090799999995,2.2398145999999954,0.22224592380136093
T1Tb,T2A2,0.8994630551953362,2.677867885575018,10.078090799999995,5.355825600000003,0.5314325606195179
T2A,T2A2,0.3277078628188081,1.8513238405374375,2.2398145999999954,5.355825600000003,2.391191485223828
