candidate_leads_reference_min,corr
-360,-0.6215423820035592
-355,-0.6117819126194278
-350,-0.6015295451778931
-345,-0.5907557952134863
-340,-0.5794601549399241
-335,-0.5676326593137222
-330,-0.5552629703434578
-325,-0.5423963274629628
-320,-0.5289837581999758
-315,-0.5150621780446055
-310,-0.5006326026564756
-305,-0.48578696563141555
-300,-0.4704555813929975
-295,-0.45469685412488425
-290,-0.43849950123599907
-285,-0.421887905760286
-280,-0.40492049494179994
-275,-0.3875000171871652
-270,-0.36963898881726576
-265,-0.3513113865498113
-260,-0.3325163951820058
-255,-0.3132893653867546
-250,-0.2936436511925644
-245,-0.27365276922168025
-240,-0.2533351278459745
-235,-0.23264174477667002
-230,-0.21165060171231093
-225,-0.19035463586100637
-220,-0.16878697851832763
-215,-0.14706520531484724
-210,-0.12522679394908398
-205,-0.1033454075229972
-200,-0.08150694610375685
-195,-0.05965909692458976
-190,-0.037668597747037194
-185,-0.01518416564627141
-180,0.007443773357020615
-175,0.030183184527945914
-170,0.05301513823608942
-165,0.07688170863046194
-160,0.10059256301192997
-155,0.12400905564083725
-150,0.14720121145791748
-145,0.1705812162491133
-140,0.19380398832444773
-135,0.21683282675196763
-130,0.23983495076432657
-125,0.26295362955072915
-120,0.2859097299707771
-115,0.30895538300311803
-110,0.33177926140477765
-105,0.35390123680819185
-100,0.37586614041480443
-95,0.39774807626198844
-90,0.41953913044286245
-85,0.4407725726212901
-80,0.4615199199261074
-75,0.4819297827688988
-70,0.5020522794802608
-65,0.5217503647853081
-60,0.5411334361283984
-55,0.5600562167836028
-50,0.5786467091173418
-45,0.5966923180959183
-40,0.6145882427798527
-35,0.6319520732778091
-30,0.6487194943057171
-25,0.6650797816129671
-20,0.6810512587712665
-15,0.6967194422693026
-10,0.7113473606729551
-5,0.7254013474621004
0,0.7387511736703236
5,0.7520233403227533
10,0.7641228137135773
15,0.7753500160669108
20,0.7857205960979632
25,0.7954462383690197
30,0.804923988246445
35,0.8140796305672569
40,0.8225620859682109
45,0.8303373418035235
50,0.8374724731604029
55,0.8443247184002021
60,0.8505473492902439
65,0.8561676622623938
70,0.8610183539659594
75,0.8654158144601629
80,0.8692216133962607
85,0.8724027926303833
90,0.87498159376488
95,0.8769308307627237
100,0.878163341701946
105,0.8787665638226989
110,0.8788283504069087
115,0.8781816625105544
120,0.8768950500544822
125,0.8749557982049662
130,0.8725300218594367
135,0.8693946740005694
140,0.8657125116097784
145,0.8614962651551716
150,0.8567568010866335
155,0.8514329843997981
160,0.8456072857185629
165,0.8393030275121015
170,0.832473470488702
175,0.8251320468955494
180,0.8172605678344026
185,0.8088741113510132
190,0.799903320403453
195,0.7904182133386349
200,0.7803905004157542
205,0.7697774029094515
210,0.758592538299542
215,0.7468921768674536
220,0.7346552570650388
225,0.7218910182487958
230,0.7087185321314003
235,0.6951182747537904
240,0.6810620327170699
245,0.666608057062253
250,0.6517479368416648
255,0.6364701607421294
260,0.620786972819447
265,0.604836933706714
270,0.5884893283661224
275,0.5717900728616313
280,0.5548127187117324
285,0.5376260783691069
290,0.5202038929637697
295,0.5025152864728166
300,0.484533522551422
305,0.46647560830531876
310,0.4482551825844219
315,0.4298672050718666
320,0.4113275664667401
325,0.392688880914545
330,0.3739214434480298
335,0.35506827481927766
340,0.3361131952703746
345,0.3171440357610654
350,0.29818679401012904
355,0.27929803949878407
360,0.26049287359517637
