sensor,n,min,mean,median,max,amplitude
T1Kd,13371,26.720654,28.560461923640712,28.521816,31.717699,4.997045
T1Kb,13317,25.332715,29.33583814102276,28.798793,37.881874,12.549159000000003
T1Ke,13346,25.368165,29.35573699048404,28.638591499999997,39.782934,14.414768999999996
T1Ka,13319,24.767144,29.0100600805616,28.268737,42.772215,18.005071000000004
T1Kc,13415,25.234269,29.178450728960122,28.397004,40.242716,15.008447
T3Kb,13297,25.126896,29.13972175956983,28.428257,38.292205,13.165309000000004
T3Kd,13267,26.39608,28.630913677395043,28.561518,31.043268,4.647188
T3Ke,13303,25.526934,29.127417664060737,28.683573,34.139709,8.612775000000003
T3Kc,13219,25.309904,29.140027665784096,28.753118,34.318063,9.008159000000003
T3Ka,13191,26.126518,29.038109873019483,29.051656,31.856519,5.730000999999998
T2Ka,13442,24.412788,30.07062296622526,29.1433235,41.746394,17.333606000000003
T2Kd,13238,24.822549,29.74008029966762,29.1838835,37.898883,13.076334
T2Kc,13349,24.964851,29.65246053307364,28.966943,38.400069,13.435218000000003
2Ke,13078,26.055978,29.091874072411684,29.076877000000003,33.477785,7.421806999999998
T1A,12911,23.123575,27.258098762528075,27.302489,60.902684,37.779109000000005
T2A,13188,21.652382,27.732903822641795,26.266177,54.092942,32.440560000000005
T2A2,13400,24.173672,28.959584421567165,27.252651,52.372973,28.199301000000002
T1Tb,13415,24.500937,29.13458636474096,28.332471,38.479866,13.978929
T1Ta,13289,22.796758,29.329566428850928,27.358582,47.319872,24.523113999999996
T1Ta2,13379,21.441372,27.564109695717168,25.548269,57.077171,35.635799
